學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,2,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),挪威,奧斯陸大學,UNIVERSITY OF OSLO,1,0,1
103,2,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),美國,杜蘭大學商學院,Tulane University Freeman School of Business,1,0,1
103,2,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),澳大利亞,昆士蘭大學,UNIVERSITY OF QUEENSLAND,1,1,0
103,2,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),日本,慶應義塾大學,KEIO UNIVERSITY,1,1,0
103,2,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,碩士班(日間),捷克,捷克科技大學,Czech Technical,1,1,0
103,2,公立,一般大學,2,國立清華大學,520401,化學工程學系,碩士班(日間),法國,特魯瓦特科技大學,University of Technology of Troyes,1,0,1
103,2,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),德國,阿亨工業大學,RWTH Aachen,1,1,0
103,2,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),美國,加州大學柏克萊分校,"University of California,Berkeley",1,1,0
103,2,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,碩士班(日間),英國,華威大學,University of Warwick,1,1,0
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),美國,加州大學柏克萊分校,"University of California,Berkeley",1,1,0
103,2,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),德國,德勒斯登工業大學,Technische Universit?t Dresden,1,0,1
103,2,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),德國,約拿大學,Friedrich-Schiller-Universit?t Jena,1,1,0
103,2,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),美國,新墨西哥大學,The University of New Mexico,1,1,0
103,2,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),德國,德勒斯登工業大學,Technische Universit?t Dresden,1,0,1
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),日本,大阪大學,OSAKA University,1,1,0
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),捷克,捷克科技大學,Czech Technical,1,0,1
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),德國,德勒斯登工業大學,Technische Universit?t Dresden,1,1,0
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),瑞士,蘇黎世大學,University of Zurich,1,1,0
103,2,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,碩士班(日間),德國,杜賓根大學,Eberhard Karls Universitaet Tuebingen,1,1,0
103,2,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,碩士班(日間),法國,高等電力大學,"Ecole Superieure D'electricite, Supelec",1,1,0
103,2,公立,一般大學,2,國立清華大學,349951,服務科學研究所,碩士班(日間),法國,里昂第三大學,Jean Moulin Univ.-Lyon 3,1,0,1
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),德國,阿亨工業大學,RWTH Aachen,1,1,0
103,2,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),法國,里昂高等師範學院,Ecole Normale Superieure De Lyon,1,1,0
103,2,公立,一般大學,2,國立清華大學,380203,科技法律研究所,碩士班(日間),日本,京都大學,Kyoto University,1,0,1
103,2,公立,一般大學,2,國立清華大學,380203,科技法律研究所,碩士班(日間),澳大利亞,拉籌伯大學,La Trobe University,1,1,0
103,2,公立,一般大學,2,國立清華大學,221101,哲學研究所,碩士班(日間),德國,柏林洪堡大學,Humboldt-Universit?t zu Berlin,1,0,1
103,2,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,碩士班(日間),德國,杜賓根大學,Eberhard Karls Universitaet Tuebingen,1,0,1
103,2,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,碩士班(日間),日本,名古屋大學,Nagoya University,1,1,0
103,2,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),德國,德勒斯登工業大學,Technische Universit?t Dresden,1,1,0
103,2,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),德國,阿亨工業大學,RWTH Aachen,2,1,1
103,2,公立,一般大學,3,國立臺灣大學,521302,工程科學及海洋工程學系,碩士班(日間),瑞典,優密歐大學,Ume? University,1,1,0
103,2,公立,一般大學,3,國立臺灣大學,520401,化學工程學系,碩士班(日間),日本,北海道大學,Hokkaido University,1,0,1
103,2,公立,一般大學,2,國立清華大學,220701,語言學研究所,碩士班(日間),土耳其,畢爾坎特大學,Bilkent University,1,1,0
103,2,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),瑞士,蘇黎世大學,University of Zurich,1,0,1
103,2,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,碩士班(日間),日本,筑波大學,University of Tsukuba,1,1,0
